"Soort misdrijf";"Perioden";"Regio's";"Geregisteerde misdrijven (aantal)"
"1.2.4 Zakkenrollerij";"2015";"Zeeland (PV)";205
"1.2.4 Zakkenrollerij";"2016";"Zeeland (PV)";145
"1.2.4 Zakkenrollerij";"2017";"Zeeland (PV)";108
"1.2.4 Zakkenrollerij";"2018";"Zeeland (PV)";81
"1.2.4 Zakkenrollerij";"2013";"Noord-Brabant (PV)";5870
"1.2.4 Zakkenrollerij";"2014";"Noord-Brabant (PV)";4234
"1.2.4 Zakkenrollerij";"2015";"Noord-Brabant (PV)";3705
"1.2.4 Zakkenrollerij";"2016";"Noord-Brabant (PV)";3403
"1.2.4 Zakkenrollerij";"2017";"Noord-Brabant (PV)";2926
"1.2.4 Zakkenrollerij";"2018";"Noord-Brabant (PV)";2032
"1.2.4 Zakkenrollerij";"2013";"Limburg (PV)";3060
"1.2.4 Zakkenrollerij";"2014";"Limburg (PV)";2799
"1.2.4 Zakkenrollerij";"2015";"Limburg (PV)";2450
"1.2.4 Zakkenrollerij";"2016";"Limburg (PV)";2127
"1.2.4 Zakkenrollerij";"2017";"Limburg (PV)";1869
"1.2.4 Zakkenrollerij";"2018";"Limburg (PV)";1264
"1.4.1 Zedenmisdrijf";"2013";"Nederland";7410
"1.4.1 Zedenmisdrijf";"2014";"Nederland";7155
"1.4.1 Zedenmisdrijf";"2015";"Nederland";6767
"1.4.1 Zedenmisdrijf";"2016";"Nederland";7464
"1.4.1 Zedenmisdrijf";"2017";"Nederland";7582
"1.4.1 Zedenmisdrijf";"2018";"Nederland";8224
"1.4.1 Zedenmisdrijf";"2013";"Groningen (PV)";321
"1.4.1 Zedenmisdrijf";"2014";"Groningen (PV)";284
"1.4.1 Zedenmisdrijf";"2015";"Groningen (PV)";335
"1.4.1 Zedenmisdrijf";"2016";"Groningen (PV)";364
"1.4.1 Zedenmisdrijf";"2017";"Groningen (PV)";338
"1.4.1 Zedenmisdrijf";"2018";"Groningen (PV)";360
"1.4.1 Zedenmisdrijf";"2013";"Friesland (PV)";288
"1.4.1 Zedenmisdrijf";"2014";"Friesland (PV)";282
"1.4.1 Zedenmisdrijf";"2015";"Friesland (PV)";321
"1.4.1 Zedenmisdrijf";"2016";"Friesland (PV)";306
"1.4.1 Zedenmisdrijf";"2017";"Friesland (PV)";314
"1.4.1 Zedenmisdrijf";"2018";"Friesland (PV)";317
"1.4.1 Zedenmisdrijf";"2013";"Drenthe (PV)";219
"1.4.1 Zedenmisdrijf";"2014";"Drenthe (PV)";212
"1.4.1 Zedenmisdrijf";"2015";"Drenthe (PV)";281
"1.4.1 Zedenmisdrijf";"2016";"Drenthe (PV)";220
"1.4.1 Zedenmisdrijf";"2017";"Drenthe (PV)";240
"1.4.1 Zedenmisdrijf";"2018";"Drenthe (PV)";281
"1.4.1 Zedenmisdrijf";"2013";"Overijssel (PV)";430
"1.4.1 Zedenmisdrijf";"2014";"Overijssel (PV)";438
"1.4.1 Zedenmisdrijf";"2015";"Overijssel (PV)";422
"1.4.1 Zedenmisdrijf";"2016";"Overijssel (PV)";443
"1.4.1 Zedenmisdrijf";"2017";"Overijssel (PV)";526
"1.4.1 Zedenmisdrijf";"2018";"Overijssel (PV)";630
"1.4.1 Zedenmisdrijf";"2013";"Flevoland (PV)";150
"1.4.1 Zedenmisdrijf";"2014";"Flevoland (PV)";167
"1.4.1 Zedenmisdrijf";"2015";"Flevoland (PV)";110
"1.4.1 Zedenmisdrijf";"2016";"Flevoland (PV)";166
"1.4.1 Zedenmisdrijf";"2017";"Flevoland (PV)";138
"1.4.1 Zedenmisdrijf";"2018";"Flevoland (PV)";178
"1.4.1 Zedenmisdrijf";"2013";"Gelderland (PV)";886
"1.4.1 Zedenmisdrijf";"2014";"Gelderland (PV)";898
"1.4.1 Zedenmisdrijf";"2015";"Gelderland (PV)";895
"1.4.1 Zedenmisdrijf";"2016";"Gelderland (PV)";833
"1.4.1 Zedenmisdrijf";"2017";"Gelderland (PV)";897
"1.4.1 Zedenmisdrijf";"2018";"Gelderland (PV)";1121
"1.4.1 Zedenmisdrijf";"2013";"Utrecht (PV)";399
"1.4.1 Zedenmisdrijf";"2014";"Utrecht (PV)";376
"1.4.1 Zedenmisdrijf";"2015";"Utrecht (PV)";341
"1.4.1 Zedenmisdrijf";"2016";"Utrecht (PV)";412
"1.4.1 Zedenmisdrijf";"2017";"Utrecht (PV)";438
"1.4.1 Zedenmisdrijf";"2018";"Utrecht (PV)";490
"1.4.1 Zedenmisdrijf";"2013";"Noord-Holland (PV)";1026
"1.4.1 Zedenmisdrijf";"2014";"Noord-Holland (PV)";1141
"1.4.1 Zedenmisdrijf";"2015";"Noord-Holland (PV)";1042
"1.4.1 Zedenmisdrijf";"2016";"Noord-Holland (PV)";1235
"1.4.1 Zedenmisdrijf";"2017";"Noord-Holland (PV)";1144
"1.4.1 Zedenmisdrijf";"2018";"Noord-Holland (PV)";1245
"1.4.1 Zedenmisdrijf";"2013";"Zuid-Holland (PV)";1890
"1.4.1 Zedenmisdrijf";"2014";"Zuid-Holland (PV)";1701
"1.4.1 Zedenmisdrijf";"2015";"Zuid-Holland (PV)";1447
"1.4.1 Zedenmisdrijf";"2016";"Zuid-Holland (PV)";1713
"1.4.1 Zedenmisdrijf";"2017";"Zuid-Holland (PV)";1689
"1.4.1 Zedenmisdrijf";"2018";"Zuid-Holland (PV)";1729
"1.4.1 Zedenmisdrijf";"2013";"Zeeland (PV)";202
"1.4.1 Zedenmisdrijf";"2014";"Zeeland (PV)";241
"1.4.1 Zedenmisdrijf";"2015";"Zeeland (PV)";165
"1.4.1 Zedenmisdrijf";"2016";"Zeeland (PV)";189
"1.4.1 Zedenmisdrijf";"2017";"Zeeland (PV)";176
"1.4.1 Zedenmisdrijf";"2018";"Zeeland (PV)";203
"1.4.1 Zedenmisdrijf";"2013";"Noord-Brabant (PV)";1160
"1.4.1 Zedenmisdrijf";"2014";"Noord-Brabant (PV)";980
"1.4.1 Zedenmisdrijf";"2015";"Noord-Brabant (PV)";1046
"1.4.1 Zedenmisdrijf";"2016";"Noord-Brabant (PV)";1194
"1.4.1 Zedenmisdrijf";"2017";"Noord-Brabant (PV)";1268
"1.4.1 Zedenmisdrijf";"2018";"Noord-Brabant (PV)";1189
"1.4.1 Zedenmisdrijf";"2013";"Limburg (PV)";438
"1.4.1 Zedenmisdrijf";"2014";"Limburg (PV)";435
"1.4.1 Zedenmisdrijf";"2015";"Limburg (PV)";362
"1.4.1 Zedenmisdrijf";"2016";"Limburg (PV)";389
"1.4.1 Zedenmisdrijf";"2017";"Limburg (PV)";414
"1.4.1 Zedenmisdrijf";"2018";"Limburg (PV)";481
"1.4.2 Moord, doodslag";"2013";"Nederland";3428
"1.4.2 Moord, doodslag";"2014";"Nederland";3272
"1.4.2 Moord, doodslag";"2015";"Nederland";3155
"1.4.2 Moord, doodslag";"2016";"Nederland";3057
"1.4.2 Moord, doodslag";"2017";"Nederland";2936
"1.4.2 Moord, doodslag";"2018";"Nederland";2717
"1.4.2 Moord, doodslag";"2013";"Groningen (PV)";159
"1.4.2 Moord, doodslag";"2014";"Groningen (PV)";119
"1.4.2 Moord, doodslag";"2015";"Groningen (PV)";100
"1.4.2 Moord, doodslag";"2016";"Groningen (PV)";114
"1.4.2 Moord, doodslag";"2017";"Groningen (PV)";114
"1.4.2 Moord, doodslag";"2018";"Groningen (PV)";97
